GeneID,Sensitive_azt0,Sensitive_azt2,Resistant_azt0,Resistant_azt2,Resistant_azt4
PP_0882,134.0257419,144.6098938,135.1060514,229.269048,136.2515059
PP_0883,102.5283362,82.72679606,86.63051899,106.6641834,81.20263642
PP_0885,173.7536231,201.0142311,182.2698801,291.0800221,222.273221
PP_0897,673.2678127,681.8912019,611.2853627,524.5193038,645.7080684
PP_0914,387.0818187,361.3270702,450.8229536,448.2126575,380.5486082
PP_0915,4244.079743,3649.668352,4705.55555,4004.841715,3330.171512
PP_0920,273.0124907,184.5077255,256.5493264,186.237669,179.4153078
PP_0922,127.8753869,113.1552246,118.5227229,123.6735214,103.6035234
PP_0930,424.5955881,463.8505382,464.8304354,389.2139335,432.3689015
PP_0931,423.1541742,430.710176,380.1544396,344.9842217,405.0431304
PP_0932,77.32543614,85.46244559,80.81347734,76.99970452,85.97193209
PP_0944,61.15295033,59.44067961,60.20655066,61.51484271,55.76950506
PP_0946,17.08482004,18.76967574,21.8681186,22.33309119,19.68423378
PP_0953,537.3155054,541.278248,526.6913872,547.0711273,544.2500449
PP_0954,349.9624788,331.513515,354.8118674,328.0667628,346.0330569
PP_0955,308.5767097,278.1735232,311.5733755,287.143531,303.0558478
PP_0956,290.3752968,255.3238892,284.5944423,270.7897644,263.4999276
PP_0957,587.0545485,598.5593863,638.3532067,590.7397454,652.1423822
PP_0958,1054.523097,1005.29944,938.455313,779.9166873,972.7968853
PP_0959,483.6207126,387.4286852,380.6986479,299.4214892,374.6135538
PP_0960,344.4425166,291.6197868,317.0755256,270.1936593,277.9711025
PP_0964,1006.042866,804.6118482,852.9754379,653.4403798,731.0541256
PP_0965,325.5071775,254.5387178,293.7479931,222.5718924,256.8486081
PP_0966,279.4302721,262.0583759,294.9944314,228.6863083,266.4587112
PP_0967,265.2665252,227.0780804,239.1309953,199.4990019,217.3526032
PP_0970,30.09009741,24.12958064,23.49312644,12.90189022,28.43549049
PP_0977,608.8281657,607.2943287,625.5282369,510.3724433,630.6356086
PP_0980,450.2540677,491.6566902,421.530175,403.4531077,468.2758309
PP_0982,402.3848422,407.7340728,438.3032395,405.872864,416.9310583
PP_0983,339.8527546,274.8384926,269.9732838,224.7826994,256.6403077
PP_0986,74.0855669,69.89900155,48.96338094,68.17668549,81.05185455
PP_0987,136.1972268,115.0989497,83.6694193,128.8013401,138.6554632
PP_0988,285.5598174,378.6143392,263.6023406,453.5767302,451.1459489
PP_0989,77.48328317,139.8413713,101.5698328,254.3635521,219.0813458
PP_0996,19.78998139,16.39395055,18.1329697,13.30535555,19.48123711
PP_0999,678.561386,1141.916726,433.0845519,865.275783,1121.307613
PP_1000,764.2706563,1502.118621,473.3138277,1223.106811,1463.576694
PP_1001,1219.873573,2264.353703,643.4598607,2051.238577,2146.586318
PP_1002,4791.544208,5426.895712,1589.050395,6118.763334,4833.267376
PP_1005,14.46249789,21.95854408,14.53584468,18.79629012,20.03221315
PP_1006,56.91659119,75.46510944,55.73922669,57.32085886,70.9468358
PP_1009,447.9091263,499.9538598,441.9453987,386.981137,384.9941278
PP_1010,1003.63931,931.5956948,1006.659323,646.9431074,719.0488235
PP_1011,337.7230148,336.1743863,278.3394652,258.7846195,267.8801348
PP_1015,889.8598869,1869.991865,698.0824172,1584.474607,1895.94809
